,rating,text,business_name,business_category,business_description,_id
603256,5,Love this place ALWAYS awesome!,KuruKuru Sushi - Kahala Mall,"['Sushi restaurant', 'Asian restaurant', 'Japanese restaurant']",Bustling mall destination offering sushi via conveyor belt or off a menu with other Japanese dishes.,1.118843214401541e+20_1539987141377
1167518,5,"Great food and Mai Tai's. If your looking for a local place and food, this is the place to go. Reasonably priced.",Aloha Mixed Plate,"['Hawaiian restaurant', 'Restaurant']","Open-air patio is a relaxed, beachside setting for traditional Hawaiian platters in jumbo portions.",1.00967376212565e+20_1504584715933
438470,2,"I hate country music and attitudes
Pizza isn't good too late in the evening. Watch out for older slices sitting too long.",Boston's Pizza Hawaii Kai,['Pizza restaurant'],"Homey, checkered-tablecloth spot for 19-inch, Boston-style pizza with fresh topping options.",1.102876353411688e+20_1524658829826
442246,4,"The insects are annoying, but it's a beautiful, relaxing area otherwise.",Thomas Square,['City park'],Historic city park (1843) whose central feature is a dancing fountain surrounded by banyan trees.,1.0142348532673669e+20_1565318034465
223935,4,Food was ok.  Gives a lot of rice.   The noodles were not fresh.  Garlic fried are spicy.  Milk tea tastes like it uses condensed milk.,Cafe Sasa by Regal Bakery,['Bakery'],A selection of Asian-American plates served in a contemporary bakery known for donuts.,1.159875361261881e+20_1526881603731
255016,5,The udon here is very cheap and very good. The low price does not compromise in quality. Lines can be long and waits can be up to 30 minutes so arrive earlier than usual,Marukame Udon Waikiki,"['Udon noodle restaurant', 'Restaurant']",Guests order at the counter at this casual Japanese restaurant specializing in noodle soup.,1.1831010067605139e+20_1545898823220
1030662,5,Best pizza hands down!!,Outrigger Pizza Co 1,"['Pizza restaurant', 'Hawaiian restaurant']","Classic pies are made in a mobile, wood-burning pizza oven by this casual street stand.",1.0720353164800795e+20_1618886623647
851503,4,"This is a great beach-side restaurant and bar at the Moana Surfrider Hotel. Getting a table during lunch and dinner can be tough, so I recommend getting there a little before noon and 6:00pm.

Sometimes service can be slow, even if the restaurant isn't full because the kitchen cooks for the snack bar, which serves the pool and beach. Be patient and enjoy the views of Diamond Head and the beach.

The food includes burgers, hot dogs, salads, appetizers, and the like, and the food is good. There's often live entertainment, usually a singer with an acoustic guitar. Sometimes there's a group with a hula dancer.",The Beach Bar,['Bar'],"Upscale, oceanfront bar with live music where mai tais are sipped outdoors under a Banyan tree.",1.0680786184678048e+20_1530239809139
291189,2,The fresh corned beef hash was ok more country potatoes than the corned beef hash.  Comfortable atmosphere.,Moena Cafe,"['Hawaiian restaurant', 'Restaurant']",Daytime cafe offering gourmet Hawaiian-influenced meals in a modern white-accented setting.,1.0233864552570687e+20_1506285201376
268984,4,"Nice spot for sunrise, quiet spot early in a.m.",Pele's Chair,['Tourist attraction'],Striking black volcanic rock formation overlooking the sea from a bluff along the Shoreline Trail.,1.0902160706579276e+20_1540882484512
717108,4,Inexpensive good shrimp choices. Coconut,The Shrimp Station - Waimea,"['Seafood restaurant', 'Restaurant']",Modest roadside seafood shack offering shrimp-based dishes served on paper plates at picnic tables.,1.0827483686405521e+20_1566193065745
1233750,5,Awesome!! Gorgeous Day!! Fun adventure with Sea Paradise crew!!,Captain James Cook Monument,"['Monument', 'Tourist attraction']","White obelisk marking the spot where Capt. Cook was killed in 1779, reachable via hike or boat ride.",1.031710062044811e+20_1572824446847
1290808,5,Always a great time!,Aloha Stadium Swap Meet,"['Flea market', 'Market', 'Stadium']",The state's biggest open-air flea market with 400-plus stands. Small admission charge.,1.1136083256651771e+20_1554505919382
561724,5,Great food. Amazing staff. Perfect night,Stage Restaurant,"['Fine dining restaurant', 'Bar', 'Restaurant']","Inventive Asian-New American fare is served in a chic, modern space in the Honolulu Design Center.",1.0345492441543021e+20_1543989691498
493454,3,Parking is limited to about 10 stalls shared with other businesses.   Pricey for what you get but fish seems pretty fresh.,Ahi Assassins Fish Co.,"['Restaurant', 'Hawaiian restaurant', 'Takeout Restaurant', 'Small plates restaurant']",Small take-out place specializing in locally caught fish for poke bowls with various sauces.,1.1540162956242498e+20_1499379178825
776077,5,Great food. Great staff,Maui Tacos - Kamaole Beach Center,"['Mexican restaurant', 'Hawaiian restaurant', 'Taco restaurant']",Counter-serve chain restaurant that blends simple Mexican dishes with Hawaiian flavors.,1.166387338745692e+20_1548264728258
113927,3,Great location and close to the beach of course.,Aston Waikiki Beachside Hotel,"['Resort hotel', 'Hotel']","Airy rooms, some with balconies, plus 1 luxe suite in a basic beachfront lodging with a courtyard.",1.0614886709804727e+20_1464245164012
220347,5,This is a pretty awesome memorial but often overlooked.,USS Oklahoma Memorial,"['War memorial', 'Historical place', 'Tourist attraction']","Marble monument to the Pearl Harbor servicemen who died aboard the USS Oklahoma on December 7, 1940.",1.0091601202862295e+20_1465691358490
