Unnamed: 0,rating,text,business_name,business_category,business_description,_id
40000,5,Tofu veggie bowl is the best thing ever,Da Kitchen,"['Hawaiian restaurant', 'Restaurant']",Local go-to for traditional Hawaiian plate lunches serves hearty portions amid a low-key atmosphere.,1.1635554788523945e+20_1569816925861
40001,5,This was one of the best restaurants at which I've ever eaten. Our waitress was the nicest server ever. And the Hawaiian pork with rice was perfectly prepared. This was better than the pork we have in NC! This is a restaurant you must visit.,Da Kitchen,"['Hawaiian restaurant', 'Restaurant']",Local go-to for traditional Hawaiian plate lunches serves hearty portions amid a low-key atmosphere.,1.0583731899312775e+20_1487212773347
40002,5,great ONO Grindz yay,Da Kitchen,"['Hawaiian restaurant', 'Restaurant']",Local go-to for traditional Hawaiian plate lunches serves hearty portions amid a low-key atmosphere.,1.023433588501392e+20_1574742362704
40003,5,"Good sized helpings, at good prices and good quality",Da Kitchen,"['Hawaiian restaurant', 'Restaurant']",Local go-to for traditional Hawaiian plate lunches serves hearty portions amid a low-key atmosphere.,1.0066643130790425e+20_1567577212285
40004,4,Great food just they were out of a lot of vegan options.,Da Kitchen,"['Hawaiian restaurant', 'Restaurant']",Local go-to for traditional Hawaiian plate lunches serves hearty portions amid a low-key atmosphere.,1.1577152697604119e+20_1562903406319
40005,4,"This place has some seriously damn good food! Why not start with the best, DESSERT! Their chocolate cake is simple but elegant and it really speaks for itself. You will not be disappointed.",Da Kitchen,"['Hawaiian restaurant', 'Restaurant']",Local go-to for traditional Hawaiian plate lunches serves hearty portions amid a low-key atmosphere.,1.0555672860379637e+20_1487467505998
40006,5,Love this place. Good food folks and fun.,Da Kitchen,"['Hawaiian restaurant', 'Restaurant']",Local go-to for traditional Hawaiian plate lunches serves hearty portions amid a low-key atmosphere.,1.1094840862157552e+20_1557297972598
40007,4,"I ate here a few times. The food is very good and they have many options, most of which is Hawaiin cuisine. There is usually a wait but it is worth it and goes quickly. The staff is usually friendly but often very busy, so I wouldn't expect them to be chatty. Prices were great and portions are usually more than the average hungry person would eat.",Da Kitchen,"['Hawaiian restaurant', 'Restaurant']",Local go-to for traditional Hawaiian plate lunches serves hearty portions amid a low-key atmosphere.,1.1591626462596519e+20_1510588598592
40008,3,"Kind of a let down after seeing it suggested as a must eat spot. Nothing was bad, just not a stand out",Da Kitchen,"['Hawaiian restaurant', 'Restaurant']",Local go-to for traditional Hawaiian plate lunches serves hearty portions amid a low-key atmosphere.,1.1471142923007315e+20_1568356487299
40009,5,"The mixed plate, loaded with fresh fish and teriyaki steak and chicken katsu and potatomac salad. Hawaiian BBQ as real as it gets. Like we made it on the beach or at uncle's house by the pool.",Da Kitchen,"['Hawaiian restaurant', 'Restaurant']",Local go-to for traditional Hawaiian plate lunches serves hearty portions amid a low-key atmosphere.,1.0944853957753125e+20_1566113603376
40010,3,Poke was pretty weak. But everything else looked good,Da Kitchen,"['Hawaiian restaurant', 'Restaurant']",Local go-to for traditional Hawaiian plate lunches serves hearty portions amid a low-key atmosphere.,1.066331896976319e+20_1573924829792
