,rating,text,business_name,business_category,business_description,_id
20000,4,Good food no lines usually,The Cheesecake Factory,"['Restaurant', 'American restaurant', 'Dessert restaurant', 'Takeout Restaurant']",American chain restaurant offering sizable portions from a vast menu including signature cheesecake,1.049765879973387e+20_1542848065508
20001,5,Celebration cheesecake is not too rich or sweet!,The Cheesecake Factory,"['Restaurant', 'American restaurant', 'Dessert restaurant', 'Takeout Restaurant']",American chain restaurant offering sizable portions from a vast menu including signature cheesecake,1.0609521207135193e+20_1534201721088
20002,5,"Lovely setting, great music, and friendly service... And by the way great food.",The Cheesecake Factory,"['Restaurant', 'American restaurant', 'Dessert restaurant', 'Takeout Restaurant']",American chain restaurant offering sizable portions from a vast menu including signature cheesecake,1.172617723472041e+20_1517031347941
20003,5,"Beautiful interior, spectacular service, great food",The Cheesecake Factory,"['Restaurant', 'American restaurant', 'Dessert restaurant', 'Takeout Restaurant']",American chain restaurant offering sizable portions from a vast menu including signature cheesecake,1.059989550915891e+20_1527907659831
20004,5,EXCELLENT service in the patio dining area .,The Cheesecake Factory,"['Restaurant', 'American restaurant', 'Dessert restaurant', 'Takeout Restaurant']",American chain restaurant offering sizable portions from a vast menu including signature cheesecake,1.1041360933731308e+20_1547373553524
20005,3,Nice lunch. Fish and chips was ok and a generous portion,The Cheesecake Factory,"['Restaurant', 'American restaurant', 'Dessert restaurant', 'Takeout Restaurant']",American chain restaurant offering sizable portions from a vast menu including signature cheesecake,1.1173118507884051e+20_1527901142116
20006,4,"Good food and nice atmosphere, but service did take a little while.",The Cheesecake Factory,"['Restaurant', 'American restaurant', 'Dessert restaurant', 'Takeout Restaurant']",American chain restaurant offering sizable portions from a vast menu including signature cheesecake,1.0674671191129951e+20_1529221912883
20007,5,The staff were nice and we got seated quickly even though the place was pqcked,The Cheesecake Factory,"['Restaurant', 'American restaurant', 'Dessert restaurant', 'Takeout Restaurant']",American chain restaurant offering sizable portions from a vast menu including signature cheesecake,1.0889602368553945e+20_1529520515457
20008,5,"I'm a Cheesecake Factory fan, so this is a little biased, but the new one in Kapolei was a desperately needed addition to the mall. It has peak hours which require a wait, but always great customer service and great atmosphere! Always perfect for a family with a lot of picky eaters because thr menu is so expansive and they even have local Hawaiian fish specialties! Of course we'll be going back!",The Cheesecake Factory,"['Restaurant', 'American restaurant', 'Dessert restaurant', 'Takeout Restaurant']",American chain restaurant offering sizable portions from a vast menu including signature cheesecake,1.0609322844726007e+20_1528901219568
20009,5,"So Ono-licious! Also, parking is NOT an issue at the Kapolei location like it is at the Waikiki location.",The Cheesecake Factory,"['Restaurant', 'American restaurant', 'Dessert restaurant', 'Takeout Restaurant']",American chain restaurant offering sizable portions from a vast menu including signature cheesecake,1.014622129446814e+20_1557432707347
20010,2,"TCF has a pattern of slow service and giving our food to other tables. We ordered 3 dishes and the table of 6 who ordered 10 minutes after us got their food first. My wife got her food after waiting about 45 minutes. I got my food about 10 minutes later. Our thid dish, which was the brunch combo with scrambled egg and bacon did not come for another 45 minutes and was apparently given to other tables on 2 different occassions. The manager came out to apologize. She was initially confused because we were a party of 2 with a baby and she wondered why we ordered 3 dishes. Basically my baby likes eggs and we ordered the dish for her. I quick breakfast turned into a 2 hour ordeal. No comps, no sincere apology, just horrible service. We will not be going back.",The Cheesecake Factory,"['Restaurant', 'American restaurant', 'Dessert restaurant', 'Takeout Restaurant']",American chain restaurant offering sizable portions from a vast menu including signature cheesecake,1.1698368546783081e+20_1528345462521
20011,5,As usual. Decent chain..,The Cheesecake Factory,"['Restaurant', 'American restaurant', 'Dessert restaurant', 'Takeout Restaurant']",American chain restaurant offering sizable portions from a vast menu including signature cheesecake,1.1342577523702684e+20_1552968912161
