,rating,text,business_name,business_category,business_description,_id
848717,5,great for sunset,'Ehukai Beach Park,"['Park', 'Public beach', 'Tourist attraction']","Popular surfing beach offering massive wintertime waves, with calmer waters in the summer.",1.1426748616291053e+20_1589655333572
848703,5,The main access point to popular surfing breaks such as Pipeline.,'Ehukai Beach Park,"['Park', 'Public beach', 'Tourist attraction']","Popular surfing beach offering massive wintertime waves, with calmer waters in the summer.",1.1447491719186307e+20_1591852064598
848713,5,Great place to set up your camping chairs and relax in the shade. Also a great place to park your bicycles.,'Ehukai Beach Park,"['Park', 'Public beach', 'Tourist attraction']","Popular surfing beach offering massive wintertime waves, with calmer waters in the summer.",1.0893375045945795e+20_1463461472578
848706,5,"My favorite Beach for surfing on Oahu North Shore. Incredibly large waves if you're here at the right time. The largest waves are between November and March.
Parking might be a problem.",'Ehukai Beach Park,"['Park', 'Public beach', 'Tourist attraction']","Popular surfing beach offering massive wintertime waves, with calmer waters in the summer.",1.1249899958787118e+20_1570685676722
848694,5,Excellent beach for family activities great sunset,'Ehukai Beach Park,"['Park', 'Public beach', 'Tourist attraction']","Popular surfing beach offering massive wintertime waves, with calmer waters in the summer.",1.1730942640485394e+20_1605375558437
848696,5,Amazing beach!,'Ehukai Beach Park,"['Park', 'Public beach', 'Tourist attraction']","Popular surfing beach offering massive wintertime waves, with calmer waters in the summer.",1.0077855126978486e+20_1611201971573
848718,5,Awesome.,'Ehukai Beach Park,"['Park', 'Public beach', 'Tourist attraction']","Popular surfing beach offering massive wintertime waves, with calmer waters in the summer.",1.1217402863643242e+20_1548445506020
848714,5,Want to see the biggest waves in the state of Hawaii?  Come visit the park -- but pay attention to the signs about rip currents.,'Ehukai Beach Park,"['Park', 'Public beach', 'Tourist attraction']","Popular surfing beach offering massive wintertime waves, with calmer waters in the summer.",1.018101760319615e+20_1489446052133
848700,5,Awesome spot for surfing!,'Ehukai Beach Park,"['Park', 'Public beach', 'Tourist attraction']","Popular surfing beach offering massive wintertime waves, with calmer waters in the summer.",1.1425088661032362e+20_1612418675718
848685,5,Usually a parking spot available and a nice spot to watch north shore waves and surfing.,'Ehukai Beach Park,"['Park', 'Public beach', 'Tourist attraction']","Popular surfing beach offering massive wintertime waves, with calmer waters in the summer.",1.1677373083828122e+20_1618554513347
