Unnamed: 0,rating,text,business_name,business_category,business_description,_id,policy_label
0,5,"My husband took me here for my birthday!  The best meal we have had here! The food is fresh and delicious!  They have a large selection of wine. It's is a very peaceful,  romantic setting.  I loved it. We will definitely come back!",Buona Sera,"['Italian restaurant', 'Restaurant']",Casual trattoria serving familiar Italian entrees in a family-friendly setting with funky decor.,1.089786951023629e+20_1507964592497,1
1,4,was a great place.  Now closed. Too bad. We'll miss having comfort food from Buona Seras,Buona Sera,"['Italian restaurant', 'Restaurant']",Casual trattoria serving familiar Italian entrees in a family-friendly setting with funky decor.,1.124085651879834e+20_1519880201044,1
2,5,"cozy, great food. love how you can sign your bottle of Chianti and have it hung on the walls and ceilings with hundreds of others",Buona Sera,"['Italian restaurant', 'Restaurant']",Casual trattoria serving familiar Italian entrees in a family-friendly setting with funky decor.,1.1571615809204435e+20_1490033397528,1
3,4,"Not your average little Italian joint, don't expect the Olive garden when you come here. But the food and atmosphere are very decent.",Buona Sera,"['Italian restaurant', 'Restaurant']",Casual trattoria serving familiar Italian entrees in a family-friendly setting with funky decor.,1.181306411818766e+20_1511165172600,1
4,3,Service was great and the mozzarella fritta and minestrone soup was good but the Eggplant Parmesan was not so great. The eggplant was mushy and not good at all.,Buona Sera,"['Italian restaurant', 'Restaurant']",Casual trattoria serving familiar Italian entrees in a family-friendly setting with funky decor.,1.1430211684992369e+20_1505179108178,1
5,4,"Very quaint. Food was very good, many employees ready with anything you need . Highly recommend.",Buona Sera,"['Italian restaurant', 'Restaurant']",Casual trattoria serving familiar Italian entrees in a family-friendly setting with funky decor.,1.0320165192012461e+20_1354085460484,1
6,3,"Casual, cozy Italian worth a try",Buona Sera,"['Italian restaurant', 'Restaurant']",Casual trattoria serving familiar Italian entrees in a family-friendly setting with funky decor.,1.1322636232629105e+20_1487178945526,1
7,5,Grateful for the opportunity to walk the pathways and learn more about the history of Big Island horticulture.,Amy B.H. Greenwell Ethnobotanical Garden,['Botanical garden'],Botanical garden featuring an array of Hawaiian plants plus a native insect house with butterflies.,1.1057492971999653e+20_1606896595728,1
8,5,Just what I wanted staff was friendly and helpful on what to try next time. I had a great experience  today! Thank you Jamaine for your friendly service.,Pizza Hut,"['Pizza restaurant', 'Chicken wings restaurant', 'Delivery service', 'Takeout Restaurant']",Family-friendly chain known for its made-to-order pizzas.,1.0805072344010316e+20_1554342226155,1
9,3,Orders were behind. Waited additional 15 minutes from original pick up time. positive thing was the pizza was awesome,Pizza Hut,"['Pizza restaurant', 'Chicken wings restaurant', 'Delivery service', 'Takeout Restaurant']",Family-friendly chain known for its made-to-order pizzas.,1.0836872499294754e+20_1562516926245,1
10,5,"Have you ever been to a Pizza Hut? If yes, then this will be exactly the same as all the rest. Good pizza and decently priced.",Pizza Hut,"['Pizza restaurant', 'Chicken wings restaurant', 'Delivery service', 'Takeout Restaurant']",Family-friendly chain known for its made-to-order pizzas.,1.0908206342844264e+20_1535788466179,1
11,5,Great Pizzas and good service,Pizza Hut,"['Pizza restaurant', 'Chicken wings restaurant', 'Delivery service', 'Takeout Restaurant']",Family-friendly chain known for its made-to-order pizzas.,1.121261714469701e+20_1560939961853,1
12,1,Worst customer service ever dont go here papa John's is better at least they deliver to my location,Pizza Hut,"['Pizza restaurant', 'Chicken wings restaurant', 'Delivery service', 'Takeout Restaurant']",Family-friendly chain known for its made-to-order pizzas.,1.0834176317384745e+20_1541806472724,0
13,5,"Cute local shop, friendly staff.",Guava Shop,['Boutique'],Casual name-brand clothing with a beach-chic vibe is the focus of this women's boutique.,1.0031263953801203e+20_1614722184911,1
14,5,Got a beautiful bamboo towel there.. love it!,Guava Shop,['Boutique'],Casual name-brand clothing with a beach-chic vibe is the focus of this women's boutique.,1.099432391158275e+20_1516202909526,1
15,4,Their American-Chinese food is tasty and plenty. The chow mein is good because they don't over cook it.  The folks who work there are always friendly and efficient.,Panda Express,"['Chinese restaurant', 'Restaurant']","Fast-food chain for Chinese standards, including some health-conscious options.",1.071480791552463e+20_1602751948563,1
16,5,Fresh Chinese food!!,Panda Express,"['Chinese restaurant', 'Restaurant']","Fast-food chain for Chinese standards, including some health-conscious options.",1.1073491439412458e+20_1551762939940,1
17,4,"Not cheap, but you spend as much or more on a plate lunch. This location is consistently good.",Panda Express,"['Chinese restaurant', 'Restaurant']","Fast-food chain for Chinese standards, including some health-conscious options.",1.0821952520952137e+20_1579819746972,1
18,5,Wanted to eat Chinese food,Panda Express,"['Chinese restaurant', 'Restaurant']","Fast-food chain for Chinese standards, including some health-conscious options.",1.0908117008315815e+20_1578408257612,0
19,3,"It's okay, fast food........",Panda Express,"['Chinese restaurant', 'Restaurant']","Fast-food chain for Chinese standards, including some health-conscious options.",1.0651126633545395e+20_1553246438183,0
20,4,Orange chicken!!!!!!!,Panda Express,"['Chinese restaurant', 'Restaurant']","Fast-food chain for Chinese standards, including some health-conscious options.",1.1175516764173695e+20_1550613449930,0
21,5,"Good Japanese food at a reasonable price.  I would recommend.  this is a good place to take family as well.  The restaurant has its own parking lot on the side, which gets filled quickly.",Hinone Mizunone,['Restaurant'],"Traditional Japanese eats from sushi to noodles, plus signature chicken karaage in casual surrounds.",1.0638294062045946e+20_1449306797705,1
22,4,"Great place for Japanese fair. They sell bentos for a quick meal on the go, which are great. The food comes with a whole bunch of Japanese side dishes (miso, pickled veggies). A must try is their sizzling hamburger steak, which is Japanese style.",Hinone Mizunone,['Restaurant'],"Traditional Japanese eats from sushi to noodles, plus signature chicken karaage in casual surrounds.",1.097265690907527e+20_1447972428259,1
23,5,"Good food, good prices, family friendly. Would recommend for those looking for comfort food",Hinone Mizunone,['Restaurant'],"Traditional Japanese eats from sushi to noodles, plus signature chicken karaage in casual surrounds.",1.1749660731209892e+20_1465259379621,1
24,4,"The chicken karaage is the best among the places I've been to: juicy but not oily, flavored but not salty, and meaty not powdery. And with the touch of one drop or two lemon juice, the karaage chicken is good for eating alone or with their soft and chewy steamed rice.",Hinone Mizunone,['Restaurant'],"Traditional Japanese eats from sushi to noodles, plus signature chicken karaage in casual surrounds.",1.1270741708147409e+20_1391625007821,1
25,3,No frills Japanese food.,Hinone Mizunone,['Restaurant'],"Traditional Japanese eats from sushi to noodles, plus signature chicken karaage in casual surrounds.",1.0150655461836605e+20_1463953131661,1
